Logistic_Probabilities,RF_Probabilities
"[7.99731105e-05 1.41991092e-04 2.97474159e-05 5.39552997e-05
 2.51435793e-05 1.88354193e-04 9.45733324e-05 3.45322653e-05
 1.50807392e-05 1.26922393e-04 3.40964023e-06 2.03059659e-04
 6.42762724e-05 3.31476252e-05 1.42822392e-04 7.30017771e-05
 3.07751847e-05 9.98659234e-01]","[0.   0.   0.   0.   0.   0.   0.01 0.   0.   0.   0.   0.   0.   0.
 0.   0.   0.   0.99]"
"[1.31742016e-04 8.15767965e-05 1.09028003e-04 5.77076787e-05
 9.94731560e-05 1.15016824e-04 9.98200631e-01 1.01002435e-04
 2.53677895e-05 8.88727946e-05 2.63716014e-04 1.05538704e-04
 1.01520648e-04 1.04281871e-04 9.58798228e-05 1.34549740e-04
 1.00430570e-04 8.36636407e-05]","[0.02 0.01 0.   0.   0.   0.01 0.77 0.01 0.   0.07 0.   0.01 0.02 0.
 0.02 0.03 0.01 0.02]"
"[1.37513417e-04 1.18529709e-04 1.53232137e-04 1.71964022e-04
 9.39821208e-05 1.29276992e-04 9.66485761e-05 1.12675984e-04
 5.74259956e-05 1.56014678e-04 5.44737636e-04 1.08105737e-04
 9.97493539e-01 1.37528562e-04 1.33391568e-04 1.59789594e-04
 8.76800185e-05 1.07964287e-04]","[0.01 0.01 0.03 0.02 0.   0.01 0.03 0.01 0.   0.03 0.02 0.01 0.74 0.02
 0.02 0.04 0.   0.  ]"
"[4.21061032e-05 3.42065631e-05 5.31439673e-05 4.93886438e-05
 8.89502043e-05 2.88579899e-05 3.85378829e-05 4.50694440e-05
 9.98271001e-01 4.03144611e-05 9.88932418e-04 2.87066053e-05
 4.89206489e-05 5.93401691e-05 3.35903320e-05 4.78742691e-05
 7.99289913e-05 2.11300018e-05]",[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
"[9.71944281e-05 7.20748836e-05 1.27704700e-04 9.98370468e-01
 7.98386513e-05 7.93625448e-05 6.69271332e-05 8.57564203e-05
 2.94860982e-05 9.86209403e-05 3.23418458e-04 6.51053995e-05
 7.76405626e-05 1.10623381e-04 8.28478215e-05 9.67812607e-05
 7.18348665e-05 6.43148252e-05]","[0.   0.   0.01 0.96 0.   0.01 0.   0.01 0.   0.   0.   0.   0.   0.
 0.   0.   0.01 0.  ]"
"[9.89269834e-05 9.28132089e-05 9.59848920e-05 1.00941671e-04
 7.29915464e-05 9.19596710e-05 9.58496494e-05 8.84052556e-05
 4.01799901e-05 1.08933393e-04 2.87443940e-04 8.82185486e-05
 9.98289337e-01 1.08284477e-04 9.43828603e-05 1.04095911e-04
 6.60425691e-05 7.52085514e-05]","[0.   0.   0.03 0.01 0.   0.   0.02 0.   0.   0.   0.   0.01 0.92 0.
 0.01 0.   0.   0.  ]"
"[3.44887880e-05 3.71258947e-05 7.63362725e-05 4.29879308e-05
 8.49343847e-05 3.90491697e-05 3.61297789e-05 3.24977708e-05
 9.08800312e-05 3.82191708e-05 8.55607021e-04 3.20431791e-05
 4.06322878e-05 5.66058813e-05 4.07454226e-05 5.07873298e-05
 9.98376914e-01 3.40155390e-05]","[0.   0.   0.01 0.   0.   0.   0.   0.   0.02 0.   0.03 0.   0.   0.01
 0.   0.02 0.91 0.  ]"
"[5.89764943e-05 9.81495997e-05 2.15760304e-05 3.17375215e-05
 1.57162161e-05 1.87273482e-04 3.95560687e-04 2.64822990e-05
 8.78318793e-06 4.99255720e-05 2.23521075e-07 1.79102175e-04
 4.19815250e-05 1.70228572e-05 1.28778351e-04 5.62339317e-05
 2.22233341e-05 9.98660253e-01]","[0.   0.04 0.   0.   0.   0.02 0.01 0.01 0.   0.   0.   0.05 0.01 0.
 0.01 0.03 0.   0.82]"
"[8.45772723e-05 1.31929703e-04 3.86672365e-05 6.24020770e-05
 3.24100908e-05 1.66519816e-04 9.80886694e-05 4.44947918e-05
 2.05363583e-05 1.30315502e-04 1.15796103e-05 9.98594838e-01
 7.41953629e-05 4.33780744e-05 1.37809205e-04 7.90714667e-05
 3.73266914e-05 2.11860381e-04]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0.]
"[9.96657106e-01 1.47582863e-04 2.41806095e-04 1.78969008e-04
 8.13530921e-05 2.12029925e-04 2.16916207e-04 2.37890646e-04
 1.21381287e-04 2.23213343e-04 5.29826271e-04 2.04784210e-04
 1.75964581e-04 2.07650103e-04 1.31382708e-04 1.76236427e-04
 1.11762718e-04 1.44144409e-04]","[0.69 0.   0.   0.   0.   0.01 0.05 0.03 0.   0.08 0.   0.01 0.04 0.01
 0.02 0.05 0.   0.01]"
"[1.09428263e-04 1.47847164e-04 3.34146565e-05 6.48965622e-05
 5.18438330e-05 9.98461300e-01 1.04831784e-04 4.05949917e-05
 3.11125669e-05 1.91134361e-04 2.16829304e-05 1.85664952e-04
 7.79433879e-05 4.86474966e-05 1.13033766e-04 5.17460261e-05
 4.00843215e-05 2.24793349e-04]","[0.01 0.05 0.   0.01 0.   0.82 0.03 0.   0.01 0.03 0.   0.04 0.   0.
 0.   0.   0.   0.  ]"
"[7.63710449e-05 7.52518041e-05 9.98280331e-01 1.32159991e-04
 1.01820078e-04 5.83140126e-05 5.11347769e-05 1.14636674e-04
 5.58869719e-05 1.14627308e-04 3.59662801e-04 6.09035185e-05
 8.79329741e-05 1.37877116e-04 7.26631384e-05 1.06382330e-04
 7.68648899e-05 3.71796060e-05]","[0.   0.   0.93 0.   0.   0.01 0.   0.   0.   0.01 0.   0.   0.   0.04
 0.   0.   0.01 0.  ]"
"[3.19256242e-05 1.59768570e-05 4.61974173e-05 3.52379026e-05
 9.98557370e-01 2.55257148e-05 2.96395317e-05 5.52828955e-05
 7.12308978e-05 1.56966130e-05 8.33915630e-04 2.93847681e-05
 2.46424621e-05 5.85147117e-05 2.85157603e-05 3.74561943e-05
 9.03275342e-05 1.31599323e-05]","[0.   0.   0.   0.   0.84 0.   0.   0.   0.01 0.   0.15 0.   0.   0.
 0.   0.   0.   0.  ]"
"[1.09369247e-04 1.29342243e-04 5.85037045e-05 1.06976653e-04
 7.58533463e-05 1.01534765e-04 9.98416411e-01 8.30293733e-05
 4.07447820e-05 1.02411361e-04 1.20787557e-04 8.51826179e-05
 7.87909983e-05 1.11398598e-04 8.29005098e-05 1.25063047e-04
 8.26322417e-05 8.90674674e-05]","[0.03 0.   0.   0.   0.   0.   0.91 0.   0.   0.05 0.   0.   0.   0.
 0.   0.01 0.   0.  ]"
"[6.92062474e-05 9.96574780e-05 9.98146955e-01 1.36070906e-04
 6.58533832e-05 8.91546471e-05 9.37934064e-05 1.80824007e-04
 5.61956712e-05 1.17818070e-04 2.88139061e-04 6.47741313e-05
 1.09231433e-04 2.02889322e-04 8.77974946e-05 6.33139316e-05
 6.49667695e-05 6.33593212e-05]","[0.   0.01 0.8  0.   0.   0.01 0.   0.01 0.   0.02 0.01 0.   0.01 0.08
 0.   0.   0.02 0.03]"
"[9.59918641e-05 1.05925778e-04 7.91922687e-05 9.38509591e-05
 6.12728270e-05 1.08579081e-04 9.80408196e-05 7.88357340e-05
 3.83084848e-05 1.21859747e-04 1.61264898e-04 1.10155006e-04
 1.01728598e-04 9.01742363e-05 1.07741809e-04 9.98386042e-01
 5.91293156e-05 1.01906860e-04]","[0.   0.   0.   0.   0.   0.   0.01 0.   0.   0.   0.   0.   0.02 0.
 0.   0.97 0.   0.  ]"
"[1.05447121e-04 1.48706578e-04 8.88998404e-05 5.69548826e-05
 7.96944415e-05 1.40993177e-04 8.93946662e-05 8.77832910e-05
 2.32460044e-05 9.98367611e-01 7.37863912e-05 1.36809253e-04
 6.09523708e-05 7.03870066e-05 1.58535408e-04 1.27924387e-04
 8.35606377e-05 9.93132384e-05]","[0.   0.04 0.01 0.   0.   0.03 0.01 0.   0.   0.87 0.   0.01 0.   0.
 0.02 0.   0.   0.01]"
"[7.73291819e-05 1.06623461e-04 4.23779342e-05 9.43920894e-05
 3.12672067e-05 1.51054564e-04 8.89240132e-05 5.41456744e-05
 2.79558710e-05 8.57090696e-05 2.80055853e-05 1.87430614e-04
 6.69062314e-05 4.73371119e-05 9.98571011e-01 8.12081747e-05
 4.39390752e-05 2.14383153e-04]","[0.   0.03 0.   0.   0.   0.03 0.01 0.   0.   0.   0.   0.02 0.   0.
 0.87 0.   0.   0.04]"
"[1.01562652e-04 9.98194214e-01 1.16016126e-04 9.26255220e-05
 7.21395082e-05 1.75547579e-04 1.09135464e-04 9.39435942e-05
 2.95006627e-05 1.16123112e-04 1.45757345e-04 9.61693232e-05
 1.20348657e-04 9.03039322e-05 1.44988704e-04 1.24852168e-04
 6.00893406e-05 1.16681996e-04]","[0.02 0.78 0.   0.01 0.   0.04 0.01 0.   0.   0.03 0.   0.01 0.02 0.02
 0.04 0.   0.   0.02]"
"[1.56267548e-04 2.37100810e-04 2.96243321e-04 2.61301365e-04
 1.21321846e-04 3.26929889e-04 3.49562323e-04 3.20981985e-04
 6.25757656e-05 3.55844825e-04 2.01628487e-04 3.42130113e-04
 2.63914618e-04 2.55278788e-04 2.10712325e-04 2.79875476e-04
 1.71513283e-04 9.95786817e-01]","[0.   0.01 0.   0.01 0.   0.03 0.03 0.02 0.   0.03 0.   0.01 0.01 0.01
 0.   0.04 0.   0.8 ]"
"[1.00956964e-04 1.15187214e-04 7.83995559e-05 9.43178116e-05
 5.98966697e-05 1.20562479e-04 1.01366369e-04 7.46921205e-05
 3.50541876e-05 9.98382513e-01 1.27724349e-04 1.22633993e-04
 1.00202059e-04 8.76471178e-05 1.15382925e-04 1.06133165e-04
 5.89068338e-05 1.18423485e-04]","[0.01 0.   0.   0.   0.   0.   0.   0.   0.   0.99 0.   0.   0.   0.
 0.   0.   0.   0.  ]"
"[1.12187857e-04 1.04320710e-04 1.12639775e-04 1.12621004e-04
 8.73480536e-05 8.66418274e-05 7.40736337e-05 9.98562195e-01
 4.92166642e-05 8.41953679e-05 6.25770241e-05 4.81090699e-05
 1.02098926e-04 9.08445203e-05 7.62195964e-05 1.27049047e-04
 5.83282776e-05 4.93339570e-05]","[0.02 0.01 0.04 0.03 0.   0.   0.01 0.83 0.   0.   0.   0.   0.01 0.
 0.01 0.04 0.   0.  ]"
"[2.82980332e-04 1.37293245e-04 2.45831051e-04 3.90083284e-04
 6.98366012e-04 1.10825031e-04 3.25984026e-04 3.65124810e-04
 2.45065472e-03 1.30010230e-04 9.92734909e-01 9.56363504e-05
 2.56943581e-04 4.30630437e-04 2.30260696e-04 2.90295463e-04
 6.77901408e-04 1.46270386e-04]","[0.   0.   0.   0.   0.09 0.   0.   0.   0.09 0.   0.81 0.   0.   0.
 0.   0.01 0.   0.  ]"
"[4.55451780e-05 5.51569645e-05 4.57218066e-05 5.46818901e-05
 4.13410166e-05 5.68511261e-05 6.37257129e-05 4.11614641e-05
 9.98901615e-01 5.32500854e-05 3.30903235e-04 4.48431418e-05
 3.43995221e-05 4.48398971e-05 4.90947705e-05 3.90281298e-05
 6.15123038e-05 3.63285548e-05]","[0.   0.01 0.   0.   0.   0.   0.   0.   0.92 0.   0.03 0.   0.02 0.
 0.01 0.01 0.   0.  ]"
"[5.16416581e-05 1.00045103e-04 3.11648699e-05 5.08694865e-05
 2.63682096e-05 9.98859398e-01 8.08135632e-05 4.72106906e-05
 2.02843167e-05 9.57401270e-05 1.42963012e-05 1.18991746e-04
 4.60665755e-05 3.03014814e-05 1.08167777e-04 5.35523713e-05
 3.88515678e-05 2.26235772e-04]","[0.   0.   0.   0.   0.   0.97 0.   0.   0.   0.01 0.   0.02 0.   0.
 0.   0.   0.   0.  ]"
"[1.31609583e-04 9.51551107e-05 1.55692168e-04 9.97856690e-01
 9.31556941e-05 4.94928171e-04 1.08216213e-04 1.21762253e-04
 4.25305329e-05 5.78856637e-05 6.12497043e-05 9.64652600e-05
 1.25412921e-04 1.29009587e-04 1.17145691e-04 1.48480266e-04
 8.79906779e-05 7.66204966e-05]","[0.04 0.02 0.   0.74 0.   0.01 0.04 0.05 0.   0.01 0.   0.01 0.05 0.
 0.   0.03 0.   0.  ]"
"[9.99533519e-01 2.36534383e-05 2.29765837e-05 2.42173591e-05
 2.02331446e-05 2.31620613e-05 2.35455802e-05 2.04574874e-05
 8.22290252e-06 2.68292821e-05 4.40342571e-05 2.35555011e-05
 2.60942852e-05 2.53682940e-05 8.90812894e-05 2.55071512e-05
 1.86269698e-05 2.09156781e-05]","[0.93 0.   0.01 0.   0.   0.   0.02 0.   0.   0.   0.   0.   0.   0.02
 0.   0.02 0.   0.  ]"
"[1.05012795e-04 8.99239601e-05 8.81803177e-05 8.51307969e-05
 5.29501565e-05 1.20062527e-04 1.19187582e-04 8.29618015e-05
 4.24582937e-05 1.09893603e-04 1.76498274e-04 1.06555128e-04
 7.20782688e-05 4.74513487e-05 1.09650859e-04 9.98429088e-01
 6.44239249e-05 9.84920209e-05]","[0.03 0.   0.   0.01 0.01 0.02 0.   0.   0.   0.02 0.   0.01 0.   0.
 0.02 0.87 0.   0.01]"
"[1.16840340e-04 9.98340831e-01 9.22012193e-05 1.20133752e-04
 5.15323153e-05 1.03441773e-04 1.38708382e-04 8.54155121e-05
 4.43266042e-05 7.33942592e-05 1.29111778e-04 1.06061651e-04
 9.32713807e-05 6.46329037e-05 1.16346661e-04 1.05485153e-04
 6.45978800e-05 1.53667420e-04]","[0.01 0.95 0.   0.   0.   0.   0.03 0.   0.   0.   0.   0.   0.01 0.
 0.   0.   0.   0.  ]"
"[5.47846081e-05 9.30338242e-05 2.08133320e-05 3.22134026e-05
 1.53854578e-05 1.63073244e-04 7.72664340e-05 1.85515697e-05
 1.41279424e-05 8.42929881e-05 5.71722672e-07 1.38761014e-04
 5.96286023e-05 2.79016489e-05 5.83366214e-05 4.23278712e-05
 2.25010876e-05 9.99076429e-01]","[0.   0.   0.   0.   0.   0.03 0.   0.   0.   0.   0.   0.03 0.   0.
 0.   0.   0.   0.94]"
"[1.14483379e-04 9.72251998e-05 1.13673220e-04 1.07909924e-04
 9.42482818e-05 1.03864121e-04 1.13328915e-04 9.84240565e-05
 3.92669857e-05 1.16695602e-04 1.88109217e-04 2.99853268e-04
 1.23902478e-04 1.28131913e-04 3.26999667e-04 9.97760741e-01
 8.77075765e-05 8.54350542e-05]","[0.04 0.   0.02 0.01 0.   0.   0.03 0.   0.   0.01 0.   0.02 0.   0.01
 0.02 0.81 0.02 0.01]"
"[7.60127093e-05 6.97677342e-05 1.66409400e-04 1.41278963e-04
 8.32704056e-05 5.98637775e-05 5.15404014e-05 9.60760350e-05
 2.26273489e-05 5.58009719e-05 4.68401236e-03 6.56584122e-05
 7.91389895e-05 9.94120894e-01 4.14689229e-05 9.65342305e-05
 4.72700340e-05 4.23756466e-05]","[0.   0.   0.01 0.   0.   0.01 0.   0.   0.   0.01 0.01 0.   0.01 0.95
 0.   0.   0.   0.  ]"
"[9.98358496e-01 6.61878894e-05 9.21161219e-05 1.13319384e-04
 6.96945432e-05 9.15762281e-05 8.13478246e-05 1.14148508e-04
 4.01626918e-05 9.47812651e-05 2.85015229e-04 7.76637831e-05
 9.34511763e-05 1.19011004e-04 6.42680329e-05 1.00413768e-04
 5.42036880e-05 8.41431730e-05]","[0.87 0.   0.02 0.03 0.   0.   0.02 0.   0.   0.   0.   0.01 0.01 0.02
 0.01 0.   0.   0.01]"
"[7.60645146e-05 8.41404218e-05 1.02092679e-04 7.68101112e-05
 1.69792104e-04 1.03623181e-04 2.97346928e-04 7.83140643e-05
 2.14752004e-05 7.51259145e-05 9.17912103e-05 5.63068735e-05
 9.18481804e-05 8.08238018e-05 8.97276902e-05 9.98292026e-01
 5.29453733e-05 1.59745654e-04]","[0.02 0.   0.   0.   0.   0.01 0.09 0.   0.   0.03 0.   0.01 0.01 0.
 0.04 0.78 0.   0.01]"
"[1.14726925e-04 7.03046968e-05 7.41675080e-05 9.43008462e-05
 8.61053747e-05 6.55512716e-05 7.84288874e-05 9.98248198e-01
 5.21159629e-05 9.20779016e-05 4.63463065e-04 6.57637786e-05
 8.94241276e-05 7.37056472e-05 9.81895288e-05 7.85409678e-05
 1.11862699e-04 4.30728801e-05]","[0.02 0.   0.   0.   0.   0.   0.   0.97 0.   0.01 0.   0.   0.   0.
 0.   0.   0.   0.  ]"
"[9.98454259e-01 1.05806673e-04 7.67949397e-05 1.04505160e-04
 4.76623336e-05 1.01053926e-04 1.24865877e-04 9.45276680e-05
 3.99804671e-05 8.55242381e-05 4.79832832e-05 1.35748251e-04
 1.09865392e-04 7.79428839e-05 1.18505802e-04 9.16634142e-05
 6.22713116e-05 1.21039245e-04]","[0.83 0.01 0.01 0.02 0.   0.01 0.01 0.   0.   0.02 0.   0.01 0.01 0.01
 0.02 0.04 0.   0.  ]"
"[8.94641084e-05 1.72013107e-04 1.19773575e-04 1.16311578e-04
 9.28577952e-05 1.25466536e-04 9.98095059e-01 1.17577134e-04
 2.51815599e-05 1.34837441e-04 1.15931203e-04 1.36503498e-04
 9.70971279e-05 9.18757692e-05 7.70390010e-05 1.51128982e-04
 9.95842237e-05 1.42297889e-04]","[0.01 0.01 0.01 0.   0.   0.01 0.76 0.04 0.   0.06 0.   0.01 0.02 0.
 0.   0.05 0.   0.02]"
"[9.96268200e-05 1.06838401e-04 8.49771483e-05 9.69275618e-05
 6.57445210e-05 1.08146703e-04 1.00673690e-04 8.16896731e-05
 3.56462370e-05 9.98345553e-01 1.86556113e-04 1.09265698e-04
 1.04451084e-04 9.45353701e-05 1.08358580e-04 1.06169017e-04
 6.29788582e-05 1.01861066e-04]","[0.01 0.01 0.01 0.   0.   0.   0.   0.   0.   0.96 0.   0.   0.   0.01
 0.   0.   0.   0.  ]"
"[2.63122882e-05 3.72346582e-05 2.13404502e-05 2.82084939e-05
 1.03384494e-05 4.60606316e-05 3.91533113e-05 2.12679887e-05
 7.51443038e-06 3.72385626e-05 1.54903717e-05 1.64048791e-04
 1.97859450e-05 2.14360550e-05 9.99430490e-01 2.25744658e-05
 1.52837409e-05 3.62216957e-05]","[0.01 0.06 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.04 0.   0.
 0.87 0.   0.01 0.01]"
"[1.16259305e-04 1.47611196e-04 7.13265582e-05 9.02562147e-05
 5.37342016e-05 1.68902294e-04 1.26080307e-04 6.98262587e-05
 1.67381531e-05 1.45160573e-04 2.37819188e-05 9.98107764e-01
 1.01666108e-04 7.86335042e-05 1.45916028e-04 1.04140205e-04
 2.29328557e-04 2.02874178e-04]","[0.   0.   0.   0.   0.   0.02 0.   0.   0.   0.   0.   0.97 0.   0.
 0.01 0.   0.   0.  ]"
"[1.10596828e-04 1.25125302e-04 6.19396650e-05 6.43742893e-05
 3.64846730e-05 2.30308847e-04 1.12799302e-04 6.15285260e-05
 2.66163207e-05 6.84426466e-05 4.11668298e-06 9.98449165e-01
 8.15435948e-05 5.08346353e-05 1.61857067e-04 9.89382406e-05
 4.54265816e-05 2.09901797e-04]","[0.02 0.   0.   0.   0.   0.01 0.01 0.   0.   0.   0.   0.89 0.01 0.
 0.01 0.02 0.   0.03]"
"[1.02610906e-04 7.05420562e-05 1.44005139e-04 1.28708770e-04
 7.93380929e-05 7.05041266e-05 8.15741039e-05 1.75451090e-04
 5.31089471e-05 8.77408312e-05 7.47655935e-04 7.75988743e-05
 1.18586094e-04 9.97667408e-01 8.27278961e-05 1.31935240e-04
 1.20230781e-04 6.02730779e-05]","[0.   0.   0.01 0.   0.   0.   0.   0.   0.   0.01 0.01 0.   0.01 0.94
 0.   0.   0.02 0.  ]"
"[1.68329833e-04 1.80775412e-04 1.29307043e-04 1.17326562e-04
 9.16185082e-05 2.14982178e-04 1.64448837e-04 1.22367660e-04
 4.26396506e-05 9.97674271e-01 1.58968464e-04 2.10031002e-04
 1.77589743e-04 9.39675071e-05 1.49390070e-04 7.86966757e-05
 5.31243206e-05 1.72166021e-04]","[0.03 0.01 0.01 0.02 0.   0.02 0.02 0.01 0.   0.81 0.   0.02 0.01 0.01
 0.01 0.01 0.   0.01]"
"[1.50954216e-04 1.92514424e-04 1.24911406e-04 1.56602789e-04
 7.86219460e-05 9.97610527e-01 1.58510776e-04 1.14479898e-04
 4.84559507e-05 1.75287861e-04 8.25630053e-05 1.97806418e-04
 1.46408367e-04 1.10205075e-04 2.05762199e-04 1.64002776e-04
 8.25449610e-05 1.99840585e-04]","[0.01 0.01 0.   0.02 0.   0.82 0.02 0.01 0.   0.02 0.   0.02 0.   0.01
 0.02 0.03 0.   0.01]"
"[9.54613777e-05 8.58329908e-05 9.79418741e-05 1.09619098e-04
 6.16214811e-05 1.00287184e-04 7.02847820e-05 7.58814555e-05
 3.99324787e-05 1.19890007e-04 2.85848677e-04 8.34196856e-05
 7.40516042e-05 8.78165233e-05 9.95824544e-05 9.98364397e-01
 5.97077990e-05 8.84235739e-05]","[0.02 0.   0.   0.01 0.   0.03 0.   0.   0.01 0.01 0.   0.01 0.   0.
 0.02 0.89 0.   0.  ]"
"[8.48967448e-05 1.23508338e-04 1.06651127e-04 1.26290212e-04
 5.93630616e-05 8.91372424e-05 8.03833916e-05 9.68438919e-05
 4.27839810e-05 9.50880724e-05 2.56184919e-04 7.66636793e-05
 6.56979772e-05 1.10082839e-04 9.29335362e-05 9.98338636e-01
 6.35391293e-05 9.13159160e-05]","[0.03 0.01 0.   0.05 0.   0.   0.   0.   0.   0.01 0.   0.   0.   0.01
 0.   0.89 0.   0.  ]"
"[1.95778617e-04 1.54663702e-04 1.74867686e-04 1.02135749e-04
 1.23451419e-04 2.29514458e-04 2.14679179e-04 1.45374435e-04
 9.64117066e-05 1.53504433e-04 2.23526404e-04 1.14611595e-04
 1.75931058e-04 1.24179213e-04 2.20304380e-04 9.97341146e-01
 9.08063522e-05 1.19113353e-04]","[0.04 0.04 0.03 0.01 0.   0.03 0.06 0.   0.01 0.01 0.   0.   0.08 0.02
 0.03 0.64 0.   0.  ]"
"[9.31638672e-05 2.19808125e-04 3.40073401e-05 3.65613081e-05
 3.26384811e-05 2.68649137e-04 9.51070108e-05 4.45159587e-05
 1.67411408e-05 1.61058294e-04 2.62524618e-06 2.71673735e-04
 4.37250588e-05 2.68788940e-05 2.38960369e-04 1.02209168e-04
 4.41920996e-05 9.98267485e-01]","[0.   0.06 0.   0.   0.   0.02 0.   0.01 0.   0.03 0.   0.08 0.   0.
 0.04 0.01 0.   0.75]"
"[9.49638866e-05 5.69836662e-05 9.98785285e-01 7.54853503e-05
 6.49221156e-05 8.00327801e-05 7.92404927e-05 1.03023693e-04
 4.61341174e-05 4.05401758e-05 6.40891337e-05 5.18625204e-05
 8.87972887e-05 1.06313464e-04 7.19299583e-05 8.68171865e-05
 6.30196143e-05 4.05596086e-05]","[0.   0.   0.92 0.   0.   0.   0.01 0.02 0.   0.   0.   0.01 0.   0.04
 0.   0.   0.   0.  ]"
"[5.05236229e-05 4.42208985e-05 6.23677162e-05 6.59756656e-05
 9.98082190e-01 3.29126241e-05 3.92633607e-05 7.49613881e-05
 7.83331967e-05 3.45931888e-05 1.09012670e-03 2.06493892e-05
 5.03438829e-05 6.66418659e-05 3.68142770e-05 4.06292527e-05
 1.08724097e-04 2.07287287e-05]","[0.   0.   0.   0.01 0.8  0.   0.   0.   0.03 0.   0.12 0.   0.   0.
 0.   0.01 0.03 0.  ]"
"[1.11170013e-04 1.41679021e-04 2.15756019e-04 1.60041447e-04
 1.11639533e-04 1.54242579e-04 1.11737840e-04 1.61658361e-04
 4.62895626e-05 7.89156038e-05 4.40012106e-04 1.39639390e-04
 1.24250278e-04 9.97514515e-01 1.51109572e-04 1.50913869e-04
 1.18259690e-04 6.81698255e-05]","[0.05 0.03 0.04 0.03 0.   0.01 0.01 0.   0.   0.   0.01 0.02 0.   0.75
 0.03 0.02 0.   0.  ]"
"[2.04826069e-04 1.50942613e-04 2.84333792e-04 1.86819233e-04
 4.87861565e-04 9.76206473e-05 1.38802322e-04 2.06093430e-04
 1.31098667e-03 1.44942696e-04 9.95227773e-01 1.09241672e-04
 2.33634757e-04 2.57115575e-04 1.38527590e-04 2.36115463e-04
 5.26233183e-04 5.81297086e-05]","[0.   0.   0.   0.   0.05 0.   0.   0.   0.02 0.   0.87 0.   0.   0.
 0.   0.   0.06 0.  ]"
"[1.06193837e-04 8.40798965e-05 1.27008150e-04 1.55852652e-04
 9.02187772e-05 7.49808422e-05 1.09499565e-04 9.98044049e-01
 4.99097138e-05 1.10293532e-04 4.13256529e-04 7.47686699e-05
 1.27206993e-04 1.56720445e-04 8.29664113e-05 9.20948398e-05
 5.00551811e-05 5.08451779e-05]","[0.   0.   0.02 0.02 0.   0.01 0.   0.92 0.   0.   0.   0.   0.   0.03
 0.   0.   0.   0.  ]"
"[1.45080090e-04 1.18870318e-04 1.42818565e-04 9.97978122e-01
 7.91059683e-05 1.74771439e-04 1.34098257e-04 1.27669579e-04
 6.03250170e-05 7.87104407e-05 5.90901066e-05 1.33805165e-04
 1.34313996e-04 1.17314813e-04 1.56450313e-04 1.54764440e-04
 8.29772011e-05 1.21712507e-04]","[0.05 0.02 0.   0.77 0.   0.03 0.   0.   0.   0.01 0.   0.   0.06 0.
 0.01 0.05 0.   0.  ]"
"[7.21642205e-05 1.09018329e-04 9.97923872e-01 1.47988318e-04
 7.08355231e-05 9.72384740e-05 1.05508660e-04 2.00119943e-04
 5.80966352e-05 1.42451108e-04 3.54381761e-04 7.38668460e-05
 1.22890430e-04 2.05699132e-04 1.01410055e-04 7.11637779e-05
 7.01233027e-05 7.31716003e-05]","[0.   0.01 0.81 0.01 0.   0.   0.01 0.01 0.   0.02 0.   0.   0.01 0.09
 0.01 0.   0.   0.02]"
"[2.86843467e-05 2.61157224e-05 6.39306056e-05 4.72593123e-05
 7.82863914e-05 1.92758851e-05 3.80128236e-05 4.20253155e-05
 9.98931508e-01 2.48836093e-05 4.21635036e-04 2.84247314e-05
 3.48455524e-05 5.44166958e-05 3.08160956e-05 3.92826542e-05
 7.40050974e-05 1.65922720e-05]","[0.   0.   0.01 0.   0.02 0.   0.   0.   0.9  0.   0.06 0.   0.   0.01
 0.   0.   0.   0.  ]"
"[3.38368712e-05 3.10598880e-05 8.89172820e-05 4.28583558e-05
 9.49724734e-05 3.19111662e-05 3.40455918e-05 3.58789430e-05
 9.97542857e-01 3.41942570e-05 1.69049008e-03 2.43794719e-05
 4.13212498e-05 6.55609479e-05 3.41060523e-05 4.73910985e-05
 1.02255807e-04 2.39630050e-05]",[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
"[9.68531515e-05 1.14798256e-04 6.60611637e-05 1.31691023e-04
 4.53747327e-05 1.48212501e-04 9.79922176e-05 7.27299475e-05
 3.45317622e-05 8.43952969e-05 7.44721630e-05 1.74101404e-04
 8.31792715e-05 7.46184282e-05 9.98355708e-01 1.08399477e-04
 5.92352919e-05 1.77646367e-04]","[0.01 0.01 0.   0.   0.   0.03 0.01 0.   0.   0.01 0.   0.02 0.   0.01
 0.89 0.   0.01 0.  ]"
"[5.56322570e-05 1.14203408e-04 1.68953990e-05 3.58813079e-05
 1.02822508e-05 1.42339411e-04 4.82959271e-05 2.07281071e-05
 8.55218672e-06 8.65443706e-05 1.39477225e-06 1.92790954e-04
 3.46658905e-05 1.61964932e-05 1.10955324e-04 5.39130611e-05
 1.74811079e-05 9.99033248e-01]","[0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.04 0.   0.
 0.01 0.03 0.   0.92]"
